가맹점명,서울페이업종명,우편번호,자치구명,기본주소,상세주소
초초수학교습소,입시/교습학원,2719,성북구 ,"서울특별시 성북구 정릉로 305 (정릉동, 길음뉴타운경남아너스빌) 101동~108동,상가",상가 301호
양계장 닭한마리,음식점/식음료업,4334,용산구 ,서울특별시 용산구 한강대로104길 20 (동자동),
온에어,생활/리빙,3078,종로구 ,서울 종로구 대명길,23 (명륜4가)
문화비 구로구민체육센터,문화/체육,8239,구로구 ,서울특별시 구로구 고척로45길 39,구로구민체육센터
가양역점 스포애니 (주)케이디헬스케어,문화/체육,7548,강서구 ,"서울특별시 강서구 양천로 510 (등촌동, 현대프린스텔)",
가고싶은 대형약국,보건/복지,5506,송파구 ,"서울특별시 송파구 강동대로 74 (풍납동, 잠실올림픽공원아이파크)","1층 101호, 2층, 201호"
문화비 50플러스수영장,문화/체육,8350,구로구 ,"서울특별시 구로구 오류로 36-25 (천왕동, 50플러스남부캠퍼스)",50플러스수영장
이인재소아과의원,보건/복지,1679,노원구 ,서울시 노원구 노원로34길 112,
은정 일본어 과외,기술/기능 교육,1710,노원구 ,서울 노원구 덕릉로71길,"5, 101동 808호 (중계동,성원아파트)"
소나무와 시루떡,기타,3390,은평구 ,서울 은평구 통일로73길,"5-10, 3층 302호 (대조동,현우빌)"
이사천사,기타,8266,구로구 ,서울 구로구 고척로22길,"84, 603호 (개봉동,동도센트리움아파트)"
씨엘약국,보건/복지,2150,중랑구 ,서울 중랑구 상봉로 131,", 1층(상봉동, 상봉 듀오트리스)"
그래도감성공방,기타,4139,마포구 ,"서울특별시 마포구 백범로25길 63 (염리동, 염리삼성래미안)",상가 2층 202호
시운LAB 실용음악학원,예술 교육,5043,광진구 ,서울특별시 광진구 자양로 112 (구의동),203호
(주)천백휘,음식점/식음료업,3073,종로구 ,서울 종로구 성균관로,"15-2, 1층 (명륜2가)"
사발,음식점/식음료업,3174,종로구 ,"서울특별시 종로구 사직로8길 34 (내수동, 경희궁의아침3단지)",
노원강아지분양 고양이분양 도그마루,생활/리빙,1756,노원구 ,"서울특별시 노원구 동일로 1354 (상계동, 명석빌딩)",2층 201호 도그마루
막창로2가 거부기곱창,음식점/식음료업,7562,강서구 ,서울특별시 강서구 공항대로61길 22-7 (염창동),1층
코리아세븐양재11호,식자재/유통,6748,서초구 ,서울특별시 서초구 양재천로21길 28 (양재동),(롯데택배) 세븐일레븐 양재11호점
깡우동(시흥사거리점),음식점/식음료업,8629,금천구 ,서울 금천구 시흥대로52길,"16, 지상1층,지상2층 (시흥동)"
바레엑스 필라테스,기술/기능 교육,5410,강동구 ,"서울특별시 강동구 양재대로 1300 (둔촌동, 올림픽파크포레온)",9LTS 2202호
하이브레인 과학교습소,입시/교습학원,7807,강서구 ,"서울특별시 강서구 마곡중앙로 59-21 (마곡동, 에이스타워Ⅱ)",226호
(주)모네데코,건축/철물,3710,서대문구,서울특별시 서대문구 모래내로 207 1층,
뉴서울휴게소,음식점/식음료업,6198,강남구 ,서울 강남구 선릉로86길,"6-3, 1층 지상 1층 (대치동)"
뉴석계프라자약국,보건/복지,1895,노원구 ,서울특별시 노원구 석계로 2 (월계동),뉴석계프라자약국
코무,음식점/식음료업,2850,성북구 ,서울특별시 성북구 고려대로7가길 1 (안암동2가),1층
샤론미용실,생활/리빙,3767,서대문구,서울특별시 서대문구 이화여대8길 2 (대현동),지하1층
테마,의류/잡화,4529,중구   ,서울 중구 남대문시장4길 21대도E동158호1층,테마
오샤레,생활/리빙,7427,영등포구,서울특별시 영등포구 디지털로 461,.
에스피상회,음식점/식음료업,7654,강서구 ,서울 강서구 공항대로46길,"25, 201호 일부 (화곡동)"
문화비 개웅산생활체육관,문화/체육,8351,구로구 ,"서울특별시 구로구 개봉로3길 108-20 (개봉동, 개웅산생활체육관)",개웅산생활체육관
가나안,음식점/식음료업,4607,중구   ,서울시 중구 다산로 131,(신당동)
삼겹집,음식점/식음료업,2738,성북구 ,서울특별시 성북구 오패산로 53-6 (하월곡동),1층
우리동네키움센터성북6호점,기업/기관,2826,성북구 ,"서울특별시 성북구 아리랑로 89 (돈암동, 일신건영휴먼빌아파트)",
렌즈미 낙성대점,의류/잡화,8793,관악구 ,서울특별시 관악구 남부순환로 1924(봉천동),1층 101호(동림오피스텔)
송이,생활/리빙,3478,은평구 ,서울  은평구  응암4동 603-55번지  2층  내,송이
백산왕인,음식점/식음료업,3757,서대문구,서울시 서대문구북아현로2안길 9(북아현동),백산왕인
비에이치씨(BHC) 자양뚝섬점,음식점/식음료업,5103,광진구 ,서울특별시 광진구 뚝섬로 676 (자양동),1층
포방한우마을,기타,3602,서대문구,서울특별시 서대문구 홍은중앙로9길 2 (홍은동),
이가초밥,음식점/식음료업,6284,강남구 ,"서울특별시 강남구 삼성로 212 (대치동, 은마아파트)",은마종합상가A블럭 3-1
재단법인 노원교육복지재단(중계무지개 아이휴센터),보건/복지,1781,노원구 ,"서울특별시 노원구 동일로208길 19 (중계동, 중계무지개아파트)",201동 104호
폴라리스안경,의류/잡화,4528,중구   ,서울특별시 중구 남대문시장길 9 (남대문로4가),
미래엔수학하계중평수학교습소,입시/교습학원,1780,노원구 ,"서울특별시 노원구 섬밭로 232 (하계동, 현대아파트,우성아파트) 101동~112동,상가동",
멕시카나치킨 천호점,음식점/식음료업,5311,강동구 ,서울 강동구 천중로29길 9 (천호동),1층
개인용달,기타,7350,영등포구,서울 영등포구 도신로62길,"32-2, 101호 (신길동,월드빌)"
러프에어리얼스튜디오,기술/기능 교육,8292,구로구 ,서울특별시 구로구 구로중앙로32나길 29 (구로동),지하 1층 100호
듀엣커피 DUET COFFEE,음식점/식음료업,8613,금천구 ,서울 금천구 시흥대로73길 67,
이치규 광화문점,음식점/식음료업,3157,종로구 ,"서울특별시 종로구 종로 19 (종로1가, 르메이에르종로타운1)",지하1층 B123호 이치규 광화문점
우리동네키움센터성북13호점,보건/복지,2874,성북구 ,"서울특별시 성북구 보문사길 18 (보문동3가, 은영유치원)",
드이베,기타,4583,중구   ,서울 중구 퇴계로88길,"53, 3층 (신당동)"
(사) 한국보건의료진흥재단 나눔치과의원,보건/복지,7920,양천구 ,서울 양천구 곰달래로5길,"35, 2층 (신월동)"
문화비 신도림생활체육관,문화/체육,8200,구로구 ,"서울특별시 구로구 경인로67길 149 (신도림동, 신도림생활체육관)",신도림생활체육관
두리조이,생활/리빙,6720,서초구 ,"서울특별시 서초구 효령로 304 (서초동, 국제전자센터)","8층 46,47호 두리조이"
봉된장,음식점/식음료업,8774,관악구 ,서울 관악구 신원로3가길,"21, 1층 (신림동)"
비오에스BOS,자동차/주유,3978,마포구 ,"서울 마포구 월드컵북로 98, 1층 야마하마포점 (성산동, 성산동성일아파트)",
리피티,문화/체육,4710,성동구 ,서울특별시 성동구 왕십리로 347 (하왕십리동),2층
승환네,음식점/식음료업,4515,중구   ,서울특별시 중구 서소문로 109-7 (서소문동),
아우름퍼니쳐AURUMFURNITURE,가구/인테리어,3415,은평구 ,서울특별시 은평구 연서로9길 29 (역촌동),1층
1162616369,음식점/식음료업,6971,동작구 ,서울특별시 동작구 상도로37길 65 (상도동),1층 교반
아이디하우스,가구/인테리어,7256,영등포구,서울 영등포구 국회대로28길,"17, 4층 4692호 (당산동3가)"
두리봄약국,보건/복지,4024,마포구 ,"서울특별시 마포구 월드컵로3길 14 (합정동, 마포한강2차푸르지오)",
은평축산물직거래장터,식자재/유통,3478,은평구 ,서울특별시 은평구 응암로 174 (응암동),1층
예닮,의류/잡화,7587,강서구 ,서울 강서구 공항대로41길,"44, 1층 102호 (등촌동)"
한국회관,음식점/식음료업,6575,서초구 ,서울 서초구 반포동,107-45번지 1
주식회사 진방실업,의류/잡화,1432,도봉구 ,서울 도봉구 해등로17길,"12, 지층 (쌍문동)"
미유펍,음식점/식음료업,4350,용산구 ,서울특별시 용산구 이태원로 165-6 (이태원동),지하1층 미유펍
삼성타일,건축/철물,7948,양천구 ,서울시 양천구 목동중앙본로 113,"나동 105호(목동, 효명)"
아모레카운셀러,생활/리빙,7945,양천구 ,"서울 양천구 신정중앙로 94 3층 (신정동,목마빌딩)",빌딩 및 상가 內
떼루아,음식점/식음료업,1216,강북구 ,서울특별시 강북구 도봉로10다길 17,1층
댑,의류/잡화,3164,종로구 ,서울특별시 종로구 종로 69,종각지하상가 G-1호(종로2가)
더벤티 송파가락점,음식점/식음료업,5714,송파구 ,서울특별시 송파구 송이로 91 (가락동),1층 103호104호
아모레,생활/리빙,8788,관악구 ,"서울특별시 관악구 남부순환로 1799 ,4층 (봉천동, 대영오피스텔)",빌딩 및 상가 內
맛남굼터,음식점/식음료업,7705,강서구 ,"서울특별시 강서구 강서로45가길 10 (화곡동, 경원빌딩)",
도움텔레콤,기타,3114,종로구 ,"서울 종로구 종로 352, 1층 (숭인동)",
미소반찬,식자재/유통,1331,도봉구 ,서울시 도봉구 마들로 650,미소반찬
다굽따,음식점/식음료업,1077,강북구 ,서울특별시 강북구 노해로 49,1층 2호
김범식 독일어학원,외국어/언어,6134,강남구 ,서울특별시 강남구 강남대로92길 17,"대승빌딩 6, 7층"
토종한우,식자재/유통,5379,강동구 ,서울 강동구 천호옛14길 47 (성내동),
계근상 쌍문점,음식점/식음료업,1443,도봉구 ,서울특별시 도봉구 도봉로113길 16 (쌍문동),103호
몽란,음식점/식음료업,2829,성북구 ,서울특별시 성북구 동소문로 129-1 (동선동4가),
갱스터펍,음식점/식음료업,8507,금천구 ,서울시 금천구 가산디지털1로 168,A동 지하1층
마포나루스페이스,자동차/주유,4176,마포구 ,"서울 마포구 마포대로 8,",1층 (마포동)
365필요한의원,보건/복지,2120,중랑구 ,서울 중랑구 망우로,
글로벌프로젝트관리연구소,기타,7366,영등포구,서울 영등포구 영신로17길,"8, 지하1층 ROOM 1 (영등포동,오학빌딩)"
카페 히든원,음식점/식음료업,2034,중랑구 ,"서울특별시 중랑구 공릉로2가길 28 (묵동, 영광빌라)",
주식회사 청담에프엔비,음식점/식음료업,5117,광진구 ,서울시 광진구 구의강변로 92,청담에프앤비
루비스,의류/잡화,4390,용산구 ,"서울시 용산구 이태원로14길 6 (이태원동, 이태원시장)",33호
청춘종합어시장,음식점/식음료업,2845,성북구 ,서울특별시 성북구 동소문로 122,
잠실엘스영어공부방,외국어/언어,5501,송파구 ,"서울특별시 송파구 올림픽로 99 (잠실동, 잠실엘스)",125동 401호
츠키노리,음식점/식음료업,4337,용산구 ,서울 용산구 신흥로,"103-1, 지1층 (용산동2가)"
법무법인에이센트,기타,6224,강남구 ,서울 강남구 논현로,"418, 5층 (역삼동,휴먼빌딩)"
유성에프아이,자동차/주유,2619,동대문구,서울 동대문구 답십리동,958-22번지
강창구찹쌀진순대 영등포에이스하이테크시티점,음식점/식음료업,7299,영등포구,서울 영등포구 경인로,
(주)제이오케이 컴퍼니,의류/잡화,7552,강서구 ,서울특별시 강서구 양천로66길 26 (등촌동),
Cu광진이스트폴,식자재/유통,5050,광진구 ,서울특별시 광진구 뚝섬로 717 (자양동),106동 상가동 109호
요리노리,기타,8638,금천구 ,서울 금천구 시흥대로37길,"14, 1층 (시흥동)"
Intro(인트로),음식점/식음료업,8589,금천구 ,"서울 금천구 가산디지털1로 119, B동 606호 (가산동, SK트윈테크타워)",1층
