가맹점명,서울페이업종명,우편번호,자치구명,기본주소,상세주소
씨티보이 삼각지,음식점/식음료업,4382,용산구 ,서울특별시 용산구 한강대로 162-2(한강로1가),
아꼬떼,음식점/식음료업,3059,종로구 ,서울특별시 종로구 계동길 5 (계동),
모던필라테스 강변점,기술/기능 교육,5117,광진구 ,서울특별시 광진구 광나루로54길 83 (구의동),
크림슨파더,음식점/식음료업,3085,종로구 ,서울 종로구 동숭3길,
방배노인종합복지관(그린라이프),식자재/유통,6677,서초구 ,서울 서초구 방배천로,"48 (방배동,방배노인종합복지관)"
김성조치과의원,보건/복지,3077,종로구 ,서울 종로구 대학로,
윤실 네츄럴스킨케어,생활/리빙,6993,동작구 ,"서울특별시 동작구 동작대로39길 22 (동작동, 이수힐스테이트)",상가 210호
저녁한잔 화곡역점,음식점/식음료업,7714,강서구 ,서울특별시 강서구 화곡로25길 7 (화곡동),
지은자기,의류/잡화,4760,성동구 ,서울 성동구 마조로,"43, 2층 (행당동)"
혜성화장품,생활/리빙,6935,동작구 ,서울특별시 동작구 장승배기로 119 (노량진동),
위드에스테틱,생활/리빙,6587,서초구 ,서울 서초구 방배로28길,"89, 1층 (방배동)"
365구생약국,보건/복지,3396,은평구 ,서울시 은평구 통일로 739,
여의도진주소아청소년과의원,보건/복지,7343,영등포구,"서울특별시 영등포구 여의대방로 386 (여의도동, 진주상가)",
훈김밥,음식점/식음료업,7765,강서구 ,서울특별시 강서구 가로공원로78길 56 (화곡동),
뉴베리영어독서영어교습소,기술/기능 교육,2727,성북구 ,서울 성북구 숭인로,길음동 1288 래미안길음센터피스아파트 상가 101동 1203호 뉴베리영어독서영어교습소
할리스커피,음식점/식음료업,6074,강남구 ,서울특별시 강남구 학동로 517 (청담동),1층 할리스커피
네일케키,생활/리빙,7788,강서구 ,"서울특별시 강서구 마곡중앙5로 6 (마곡동, 마곡나루역보타닉푸르지오시티)",
강북구3호점우리동네키움센터,기타,1183,강북구 ,서울특별시 강북구 인수봉로6길 39 (미아동),
류마변세진내과,보건/복지,5353,강동구 ,서울 강동구 양재대로,
강태욱피부과,보건/복지,4717,성동구 ,서울특별시 성동구 행당로 84 (행당동),
아모레카운셀러,기타,1161,강북구 ,서울특별시 강북구 도봉로 132 (미아동),3층
애런스그린키위영어교습소,외국어/언어,5770,송파구 ,서울 송파구 오금로46길 11 (가락동),2층 아론스키위영어보습학원
집사의 하루 강남점,생활/리빙,6123,강남구 ,서울특별시 강남구 봉은사로4길 32(역삼동),3층
베이징양고기전문점,음식점/식음료업,3311,은평구 ,"서울특별시 은평구 진관1로 21-35 (진관동, 어드벤스힐오피스텔)",1층119
주에버아트,생활/리빙,6292,강남구 ,서울특별시 강남구 언주로30길 13,대림아크로텔 C동 2708호
대성 도배,건축/철물,8702,관악구 ,서울 관악구 신사로12길,3 (신림동)
송주불냉면,음식점/식음료업,7614,강서구 ,서울시 강서구 방화동로49,",  1층"
피투사 FIT USA 신도림점 여성전용,문화/체육,8211,구로구 ,서울특별시 구로구 신도림로 16,상가동 2층 205호
서린법률사무소,기타,6634,서초구 ,서울 서초구 서초중앙로,"120, 6층 2호 (서초동,현정빌딩)"
홍능족발1977,음식점/식음료업,4715,성동구 ,서울시 성동구 왕십리로 309,
와이유 바둑 스튜디오,생활/리빙,4715,성동구 ,서울 성동구 무학봉28길,"3-1, 304호 (하왕십리동,왕십리지음재)"
매력발산 점핑,문화/체육,7638,강서구 ,서울 강서구 강서로45길,
셀비아 컴퍼니,생활/리빙,2751,성북구 ,서울 성북구 화랑로,"76, 101동 809호 (하월곡동,코업스타클래스)"
반도스포츠,보건/복지,7442,영등포구,서울특별시 영등포구 시흥대로 651 (대림동),반도스포츠
영  미용실,생활/리빙,1765,노원구 ,서울시 노원구 동일로213길 77,(상계주공1단지상가 나 - 107)
참치빠,음식점/식음료업,5283,강동구 ,서울특별시 강동구 천호대로219다길 7-27 (상일동),
구립 넓은들어린이집,기술/기능 교육,8050,양천구 ,서울 양천구 신정이펜1로,"50, 신정이펜하우스3단지 보육시설 (신정동)"
비비케이스 건대점,의류/잡화,5072,광진구 ,서울 광진구 아차산로30길,"8, 1층 3호 (자양동)"
향리원마라탕구산점,음식점/식음료업,3412,은평구 ,서울 은평구 서오릉로,"159 (구산동,에덴빌딩)"
봄날디자인스튜디오,기타,4048,마포구 ,서울 마포구 어울마당로5길,"18, 3층 (서교동)"
주식회사 리라에프앤비,음식점/식음료업,5117,광진구 ,서울시 광진구 구의강변로 90,
인테리어클래스,건축/철물,8854,관악구 ,"서울특별시 관악구 난곡로30길 27 (신림동, 아름채)",
향월재 카페,음식점/식음료업,4604,중구   ,서울특별시 중구 동호로17길 83 (신당동),
이실이네,음식점/식음료업,8289,구로구 ,서울특별시 구로구 공원로6나길 29-21 (구로동),
앱모어커피(ABMORCOFFEE),음식점/식음료업,7238,영등포구,서울특별시 영등포구 은행로 29,
태권쏭(태권도장),기술/기능 교육,5274,강동구 ,서울 강동구 고덕로,
후테일러,의류/잡화,6713,서초구 ,서울 서초구 명달로,
주식회사 온티칭,문화/체육,8377,구로구 ,"서울특별시 구로구 디지털로33길 48 (구로동, 대륭포스트타워7차)",
강남기대찬의원,보건/복지,6620,서초구 ,"서울특별시 서초구 강남대로 375 (서초동, 서초현대타워아파트)",
키키브라더스 노원,생활/리빙,1693,노원구 ,"서울 노원구 상계로3길 38-8, 3층 (상계동)",상가동 202-1호
개성시대,생활/리빙,5825,송파구 ,서울특별시 송파구 중대로16길 11 (가락동),
삼성세탁,생활/리빙,7361,영등포구,서울시 영등포구 가마산로79가길 6-1？,삼성래미안상가 B06
초이스살롱,생활/리빙,4049,마포구 ,서울시 마포구 독막로15길 5,2층 201호(상수동)
심플리타이 합정점,음식점/식음료업,4047,마포구 ,서울특별시 마포구 양화로6길 57 1층 심플리타이,심플리타이합정점(SIMPLY THAI)
해바라기정육식당,음식점/식음료업,4309,용산구 ,서울특별시 용산구 청파로 289 (청파동2가),
중화루,음식점/식음료업,7582,강서구 ,서울특별시 강서구 강서로 426,101호중화루
두찜 강서발산역점,음식점/식음료업,7806,강서구 ,서울 강서구 공항대로,
스코AI관리형 스터디카페 구의1호점,생활/리빙,5024,광진구 ,"서울특별시 광진구 자양로 163,","우남빌딩 3층 301,302,303호"
아하잉글리쉬,입시/교습학원,8843,관악구 ,서울특별시 관악구 문성로36길 12 (신림동),
컨트롤학원,입시/교습학원,7798,강서구 ,서울특별시 강서구 마곡서로 133,M7타워 713동 601호
두잇액팅스쿨학원,기술/기능 교육,3086,종로구 ,서울 종로구 동숭길,"47, 4층,5층 (동숭동)"
아이피티씨(IPTC),여행/숙박,4522,중구   ,서울 중구 남대문로,"117, 다동 1115호 (다동,동아빌딩)"
마우이서재,음식점/식음료업,6018,강남구 ,서울 강남구 선릉로161길,"18, 5층 (신사동)"
제이윈,의류/잡화,5672,송파구 ,서울 송파구 오금로32길,"10, 3동 302호 (송파동,미성아파트)"
해남곳간,음식점/식음료업,5769,송파구 ,서울특별시 송파구 오금로46길 8-1 (가락동),
서울상회 고추방앗간,기타,5756,송파구 ,서울특별시 송파구 거마로22길 26-18,1층
아일로(A HILO),의류/잡화,5804,송파구 ,서울특별시 송파구 동남로 110 (문정동),
비구데코,생활/리빙,4595,중구   ,서울 중구 다산로,"32, 상가 103호 (신당동,남산타운)"
꿈꾸는자동차,자동차/주유,8574,금천구 ,서울특별시 금천구 탑골로 21,꿈꾸는자동차
신성0222421144공인중개사무소,부동산/임대,2558,동대문구,"서울특별시 동대문구 서울시립대로 75 (전농동, 전농동신성미소지움아파트)",
대신가방,의류/잡화,4529,중구   ,서울 중구 남대문로,"36, 47 (회현동1가,자유상가빌딩1층47호~48호)"
그린달,생활/리빙,6525,서초구 ,서울특별시 서초구 강남대로101안길 18-5 (잠원동),
대치동1타피자,음식점/식음료업,6204,강남구 ,서울특별시 강남구 도곡로77길 35 (대치동),
헤어포인트,생활/리빙,4953,광진구 ,서울특별시 광진구 천호대로 655 (중곡동),2층 봉헤어
Design by 권혁,생활/리빙,8708,관악구 ,"서울특별시 관악구 보라매로3길 29, 3층",
ARGOLFACADEMY,문화/체육,7306,영등포구,서울 영등포구 경인로,"846, 6층 (영등포동,롯데백화점)"
서초하수구해빙소변기변기펌프세면대수리용접,건축/철물,6535,서초구 ,서울 서초구 사평대로55길,"126, 4층 A8호 (반포동)"
79파운야드 목동41타워점,음식점/식음료업,7997,양천구 ,"서울특별시 양천구 목동동로 293 (목동, 현대41타워)",
고고니 본점,음식점/식음료업,6367,강남구 ,"서울특별시 강남구 광평로56길 8-9 (수서동, 목화오피스텔)",
스프링복,음식점/식음료업,4337,용산구 ,서울특별시 용산구 소월로20길 28-1 (용산동2가),
휠러즈(WHEELERS),음식점/식음료업,2221,중랑구 ,서울 중랑구 면목로49길,"38, 1층 (면목동)"
삼성지게차,기타,7674,강서구 ,서울 강서구 까치산로,98 (화곡동)
The 샹뜨,생활/리빙,2058,중랑구 ,"서울특별시 중랑구 용마산로 616 (신내동, 새한아파트)",
제이와이정보통신(주),가전/통신,121806,기타   ,서울 마포구 노고산동,30-170
루마버텍스 레이노 팬텀 서대문점,자동차/주유,3693,서대문구,서울 서대문구 증가로,
치킨플러스(월계점),음식점/식음료업,1896,노원구 ,"서울특별시 노원구 석계로13길 35 (월계동, 세양청마루아파트)",
피자헛,음식점/식음료업,3479,은평구 ,서울특별시 은평구 가좌로 167(응암동),1층
뿌리깊은수학나무보습학원,입시/교습학원,5034,광진구 ,서울특별시 광진구 구의로16길 91 (구의동),1층 뿌리깊은수학나무 보습학원
연화어린이집,기술/기능 교육,2842,성북구 ,서울 성북구 개운사길,"60-46, 1층 (안암동5가,보타사)"
한서의원,보건/복지,7658,강서구 ,서울 강서구 화곡로,324 (화곡동)
와이에스 인터내셔널(YS International),의류/잡화,4794,성동구 ,"서울 성동구 아차산로 105, A동 4호 (성수동2가)",301호(좌측)
케이유세라믹,기타,5614,송파구 ,서울 송파구 백제고분로36길,"40, 1층 (석촌동,상명빌딩)"
당고개배드민턴장,문화/체육,1639,노원구 ,서울특별시 노원구 상계로 273,당고개배드민턴장
행복한한우돈,음식점/식음료업,2220,중랑구 ,서울 중랑구 면목로,365
맛나쥬's,음식점/식음료업,4556,중구   ,서울 중구 마른내로6길,
스튜디오(Studio)설렘 by 김민정,생활/리빙,5402,강동구 ,서울시 강동구 성안로3길 11,102호
기린카페,음식점/식음료업,2214,중랑구 ,서울특별시 중랑구 면목로44길 56,1층
열린논술,입시/교습학원,4701,성동구 ,서울특별시 성동구 왕십리로 390 (상왕십리동),
한우리국어논술학원,입시/교습학원,5784,송파구 ,서울특별시 송파구 동남로 202(가락동),
하얀집,의류/잡화,4386,용산구 ,서울 용산구 한강대로38길,"17, 1층 (한강로2가)"
(주)지엠씨앤엠(GM C&M),생활/리빙,4371,용산구 ,서울 용산구 새창로,"181, 21동 1068호 (한강로2가,선인상가)"
고려태권도장,기술/기능 교육,8657,금천구 ,서울특별시 금천구 탑골로 30 (시흥동),
이마트24 가양역점,식자재/유통,7526,강서구 ,서울특별시 강서구 양천로57길 10-11 이스타빌ll,1층
조은뮤직,기타,6690,서초구 ,서울특별시 서초구 청두곶길 12,2층
한우리보호작업장 (카페늘봄4호점 서초구민,음식점/식음료업,6749,서초구 ,서울특별시 서초구 강남대로 201 (양재동),1층
인왕산건강원,기타,3036,종로구 ,서울시 종로구 자하문로15길 19,
삼성세탁소,생활/리빙,4582,중구   ,"서울특별시 중구 퇴계로90길 74, 204호(등기상 1층 204호) (신당동, 래미안신당하이베르아파트단지내상가)",삼성세탁소
와이드코리아,식자재/유통,6034,강남구 ,서울 강남구 강남대로158길,"10, 4층 401호 (신사동)"
정관장(종암점),의류/잡화,2803,성북구 ,"서울특별시 성북구 종암로 113 (종암동, 국승호치과의원)",
염색하우스,생활/리빙,3955,마포구 ,서울시 마포구 방울내로7길 23,
육초연,음식점/식음료업,2454,동대문구,서울특별시 동대문구 회기로13길 24 (회기동),
메이드인지인MADE in Jiin,음식점/식음료업,3391,은평구 ,서울 은평구 통일로71길,
불암산배드민턴장,문화/체육,1793,노원구 ,서울특별시 노원구 중계로 36,불암산스포츠타운(불암산배드민턴장)
광호손세차장,자동차/주유,3653,서대문구,서울특별시 서대문구 연희로 266 (홍은동),1층
삼성바른의원,보건/복지,2531,동대문구,서울 동대문구 전농로,"134, 1층 (전농동)"
공차 아차산역점,음식점/식음료업,4954,광진구 ,서울 광진구 천호대로,
튀긴치킨 싫어서 구운치킨만 파는 집,음식점/식음료업,4012,마포구 ,서울특별시 마포구 동교로9길 57 (망원동),2층
피앤아이라이브(PNI LIVE),기타,7237,영등포구,서울 영등포구 국회대로,"780, 12층 5호 (여의도동,엘지여의도에클라트)"
에이원민턴 강동점,문화/체육,5350,강동구 ,서울특별시 강동구 천호대로 1199 (길동),
지앤헤어모드,생활/리빙,7356,영등포구,서울특별시 영등포구 영등포로84길 20 (신길동),1층
송동명의 풍선아트학원,예술 교육,7939,양천구 ,"서울특별시 양천구 국회대로 180, 4층 (신정동)",송동명의 풍선아트 학원
불닭발땡초동대문엽기떡볶이,음식점/식음료업,3735,서대문구,서울특별시 서대문구 경기대로 90 (냉천동),2층
청담안주랩,음식점/식음료업,3610,서대문구,"서울특별시 서대문구 홍은중앙로3길 9 (홍은동, 북한산두산위브)",
비젼케이,가전/통신,7997,양천구 ,서울 양천구 목동동로,"293 (목동,현대41타워1416-1)"
불량공주I,의류/잡화,4563,중구   ,서울특별시 중구 장충단로 263 (을지로6가),1층183호
앤드피스안경,의류/잡화,4419,용산구 ,"서울특별시 용산구 한남대로 60 (한남동, 금호리첸시아)",1층 앤드피스안경
태능삼호약국,보건/복지,1861,노원구 ,서울시 노원구 화랑로 425-47,1층(공릉동)
구스헤어,생활/리빙,7750,강서구 ,서울특별시 강서구 곰달래로 187(화곡동),1층
일등치과의원,보건/복지,4024,마포구 ,"서울특별시 마포구 월드컵로1길 14 (합정동, 마포 한강 푸르지오)",딜라이트스퀘어 208호
(주)장수상회,음식점/식음료업,6735,서초구 ,서울 서초구 남부순환로,"2581-5, 1층 (서초동,대호빌딩)"
현궁,음식점/식음료업,3152,종로구 ,"서울특별시 종로구 종로1길 42 (수송동, 이마빌딩)",이마빌딩 지하 1층
금란상회,식자재/유통,2571,동대문구,서울 동대문구 경동시장로,19-1 (제기동)
고덕더오름리드인학원,입시/교습학원,5227,강동구 ,서울특별시 강동구 동남로81길 60 (고덕동),JG빌딩 4층
디프디자인 스튜디오,기타,4703,성동구 ,서울 성동구 무학로,"50, 상가 2층 207호 (하왕십리동,벽산아파트)"
묘수 신당,음식점/식음료업,4585,중구   ,서울 중구 퇴계로78길,
쉐프엠 신정네거리점,식자재/유통,8082,양천구 ,서울특별시 양천구 중앙로 270 (신정동),
향나무세구루,음식점/식음료업,3053,종로구 ,서울시 종로구 삼청로 100(삼청동),향나무세구루
골라유 도시락,음식점/식음료업,3757,서대문구,서울 서대문구 신촌로37길,"11, 1층 (북아현동)"
힐바나,생활/리빙,1304,도봉구 ,서울특별시 도봉구 도봉산3길 73 (도봉동),
해피데이,식자재/유통,5117,광진구 ,"서울 광진구 광나루로54길 32,",1층  하나빌딩 (구의동)
한국플라워인더스트리,생활/리빙,6547,서초구 ,서울 서초구 반포대로 275 (반포동),르본시티5층6호)
진수성찬,음식점/식음료업,6074,강남구 ,서울시 강남구 학동로 81길5,진수성찬
로즈애플 강동롯데캐슬점,식자재/유통,5236,강동구 ,서울특별시 강동구 고덕로 133,
뮤잇,음식점/식음료업,6296,강남구 ,서울 강남구 논현로,"176, 1층 (도곡동)"
뉴보수센타,기타,4423,용산구 ,서울 용산구 이촌로,"245, 상가 C동 103호 (이촌동,로얄)"
스타방충망,의류/잡화,8508,금천구 ,서울 금천구 벚꽃로48길,"12-1, 옥탑 (가산동)"
결이고은 왕십리점,생활/리빙,4715,성동구 ,서울특별시 성동구 왕십리로 311 (행당동),
호지안B,의류/잡화,4567,중구   ,"서울특별시 중구 마장로 13, 지하층 93,94호 (신당동, 제일평화시장)",호지안B
동네방네 미용실,생활/리빙,7783,강서구 ,서울특별시 강서구 곰달래로 220 (화곡동),동네방네 미용실
한양사,건축/철물,2505,동대문구,서울시 동대문구 전농로 208,한양사
경창사우나,생활/리빙,7936,양천구 ,서울시 양천구 중앙로53길 65,"301,304(신월동,경창프라자)"
와꼬,음식점/식음료업,5117,광진구 ,서울특별시 광진구 구의강변로 90,2층(구의동)
자담치킨 도봉점,음식점/식음료업,1324,도봉구 ,서울특별시 도봉구 마들로28길 58 (도봉동),
노블한복,의류/잡화,8209,구로구 ,"서울특별시 구로구 경인로 638 (신도림동, 신도림에스케이뷰)",103동 110호
미드나잇포레스트,음식점/식음료업,4337,용산구 ,서울 용산구 소월로20길,"42, 지층 (용산동2가)"
트리테라,식자재/유통,8504,금천구 ,서울특별시 금천구 서부샛길 606 404호,트리테라
장안원룸텔,여행/숙박,2637,동대문구,서울 동대문구 답십리로72길,"36, 5층 (장안동)"
탕화쿵푸마라탕,음식점/식음료업,7294,영등포구,서울 영등포구 문래로,
동촌,음식점/식음료업,5376,강동구 ,서울시 강동구 풍성로 209(성내동),1층
타임치과교정과 치과의원,보건/복지,7803,강서구 ,서울특별시 강서구 공항대로 269-15 (마곡동),
미오(Mio),음식점/식음료업,5635,송파구 ,서울시 송파구 위례성대로12길 28,101호(방이동)
뚝배기 양평해장국 수유사거리점,음식점/식음료업,1113,강북구 ,서울특별시 강북구 도봉로 289 (수유동),1층
온도 센터원,음식점/식음료업,3190,종로구 ,"서울 종로구 삼일대로15길 21, 1층 (관철동)",미래에셋센터원 빌딩 지하1층 식탁애행복 10호 ONDO
전주식당,음식점/식음료업,2498,동대문구,서울특별시 동대문구 망우로18다길 44,
엘로사,의류/잡화,3056,종로구 ,"서울 종로구 계동길 89-1, 1층 (계동)",쿤스트 (Kunst)
뉴욕버거 마포공덕점,음식점/식음료업,4196,마포구 ,"서울특별시 마포구 백범로 212 (신공덕동, 대우월드마크마포)",
온앤영어교습소,입시/교습학원,4984,광진구 ,서울특별시 광진구 아차산로 499 (광장동),상가동 2층 7호 온앤영어교습소
PIU,음식점/식음료업,3040,종로구 ,서울시 종로구 자하문로7길 21,1층
락(樂),음식점/식음료업,6912,동작구 ,서울  동작구  상도동 683번지,
풍류,음식점/식음료업,3396,은평구 ,서울특별시 은평구 통일로 743 (대조동),2층 청담주막
장미원미용실,생활/리빙,1039,강북구 ,서울 강북구 삼양로 462 (수유동),장미원 머리방
24시아프리카동물메디컬센터,보건/복지,7590,강서구 ,서울시 강서구 공항대로335,
화로  숯불구이,음식점/식음료업,5530,송파구 ,서울특별시 송파구 올림픽로 553 (풍납동),화로구이
경동물산,기타,7427,영등포구,서울시 영등포구 도림로64길 9-1(대림동),경동물산
황태마을,음식점/식음료업,1326,도봉구 ,서울특별시 도봉구 도봉로164길 40 (도봉동),1층 황태마을
큰집닭강정,음식점/식음료업,1819,노원구 ,서울특별시 노원구 공릉로38길 6 (공릉동),
커피씨(COFFEE C),음식점/식음료업,6105,강남구 ,서울특별시 강남구 언주로129길 17 (논현동),1층
여기가좋겠네,음식점/식음료업,5406,강동구 ,서울시 강동구 양재대로89길 81,101호
휴. 정통지압원,기타,7237,영등포구,서울 영등포구 국회대로,"780, 305호 (여의도동,엘지에클라트오피스텔)"
나클린안마원,보건/복지,1330,도봉구 ,"서울  도봉구  도봉동 636-15,636-21  제3층  301",대상타운현대아파트 상가동 206호
가배장이(잠실점),음식점/식음료업,5510,송파구 ,"서울특별시 송파구 올림픽로 269 (신천동, 롯데캐슬골드)","2층(신천동,롯데캐슬골드)"
파파포,음식점/식음료업,4624,중구   ,서울특별시 중구 필동로 15-7 (필동2가),1층
예진종합건설,가구/인테리어,1125,강북구 ,"서울특별시 강북구 솔매로45길 52, 1층 (미아동)",예진종합공사
플라토닉 스튜디오&자이로토닉,기술/기능 교육,2197,중랑구 ,"서울 중랑구 면목로72길 20, 2층 201호 (면목동)",1층 101호
토종명품순대국,음식점/식음료업,5016,광진구 ,서울특별시 광진구 동일로24길 63 (화양동),1층
(주)청정해신선어,음식점/식음료업,5718,송파구 ,"서울특별시 송파구 송파대로28길 27(가락동, 송파성원쌍떼빌)",102동 207호
엔티에스 태권도 (창동 1호점),생활/리빙,1454,도봉구 ,서울특별시 도봉구 도봉로110나길 36 (창동),3층 NTS태권도(창동1호점)
박주희 콜렉션,의류/잡화,4799,성동구 ,서울특별시 성동구 동일로 137,1층
소라생선,식자재/유통,8705,관악구 ,서울시 관악구 관천로15길 100(신림동),소라생선
윤한의원,보건/복지,5091,광진구 ,서울특별시 광진구 뚝섬로 558 (자양동),
방화11종합사회복지관,보건/복지,7611,강서구 ,서울시 강서구 개화동로 21길4,방화11종합사회복지관
우노스,의류/잡화,4917,광진구 ,서울특별시 광진구 면목로 61 (중곡동),
행복한경희한의원,보건/복지,5519,송파구 ,서울특별시 송파구 풍성로25길 42 (풍납동),2층 행복한경희한의원
벨루스학원,입시/교습학원,8000,양천구 ,서울특별시 양천구 오목로 313-6 (목동),
민트,의류/잡화,4567,중구   ,"서울특별시 중구 마장로 13, 5층 10,46,47호 (신당동, 제일평화시장)",민트
그레이프트리스파크어학원,입시/교습학원,5301,강동구 ,서울특별시 강동구 명일로 271 (길동),"3,4층"
제일모형절단,식자재/유통,7371,영등포구,서울 영등포구 경인로76길,5 (문래동1가)
"어느 날,",문화/체육,5282,강동구 ,"서울특별시 강동구 천호대로219길 86 (상일동, 아주빌딩)",
렘브란트,의류/잡화,4055,마포구 ,"서울특별시 마포구 와우산로23길 9 (서교동, 칼리오페)",
유정,문화/체육,8767,관악구 ,서울특별시 관악구 난곡로65길 2,(신림동)
엠에스(MS)주방가구,가구/인테리어,8346,구로구 ,서울 구로구 개봉로15길,"46-21, 402호 (개봉동)"
한가람문구,의류/잡화,6545,서초구 ,서울특별시 서초구 신반포로 194 (반포동),고속버스터미널 지하1층
쎄시헤어,생활/리빙,3319,은평구 ,"서울특별시 은평구 갈현로29길 62 (갈현동, 코오롱하늘채아파트)","103호(갈현동,코오롱오투빌상가"
명신식당,음식점/식음료업,3073,종로구 ,서울시 종로구 창경궁로29길 37-1,명신식당
건강정원,기타,8311,구로구 ,서울특별시 구로구 구로동로22길 1 (구로동),1층 건강정원
장진희에스테틱,생활/리빙,8637,금천구 ,서울특별시 금천구 시흥대로 165 남서울 힐스테이트아파트  2단지상가  201호,장진희에스테틱
스시로로,음식점/식음료업,7013,동작구 ,서울 동작구 동작대로23길,29 (사당동)
강서8호점우리동네키움센터,기업/기관,7659,강서구 ,"서울특별시 강서구 화곡로54길 43 (화곡동, 강서금호어울림퍼스티어)",2층
예아어린이집,기술/기능 교육,1336,도봉구 ,서울 도봉구 마들로,"646, 1층 (방학동,삼성래미안 관리동)"
뚜레쥬르 카페응암점,음식점/식음료업,3454,은평구 ,서울 은평구 응암로 277,"102,103호(응암동,펠리시티)"
상명토탈ENG,가전/통신,2798,성북구 ,서울특별시 성북구 종암로24가길 53 종암 sk아파트105동1002호,상명토탈ENG
돌스앤(Dollsn),의류/잡화,4174,마포구 ,서울특별시 마포구 마포대로 38 (도화동),일신빌딩 9층 901호
매너커피,음식점/식음료업,4778,성동구 ,서울특별시 성동구 왕십리로4길 24 (성수동1가),
미담축산 미담푸드,기타,1399,도봉구 ,서울특별시 도봉구 노해로63다길 18 (창동),1층
수약국,보건/복지,8073,양천구 ,서울특별시 양천구 중앙로 247 (신정동),수약국
드림디포(대림),의류/잡화,7422,영등포구,서울시 영등포구 대림로 142,1층 101호
피자마루 (목동1호점),음식점/식음료업,8093,양천구 ,서울특별시 양천구 목동동로 63 (신정동),대영프라자 106호
정한컴,가전/통신,2784,성북구 ,"서울 성북구 한천로73길 33, 지하층  장한빌딩 (석관동)",
김희철 스시,음식점/식음료업,1170,강북구 ,서울시 강북구 솔매로 118-1,1층
쉬즈베이글금천구점,음식점/식음료업,8531,금천구 ,서울특별시 금천구 시흥대로 475 (독산동),
루시,의류/잡화,7306,영등포구,서울시 영등포구 경인로 846 지하도상가,25호
우성미터,의류/잡화,5655,송파구 ,서울 송파구 마천로11길,"3, 1층 (오금동)"
흥성치킨,음식점/식음료업,8769,관악구 ,서울특별시 관악구 조원로4길 36,
한우정육소 미아사거리점,음식점/식음료업,1211,강북구 ,서울특별시 강북구 숭인로 55-2 (미아동),1층
주식회사 한국바이오헬스케어,가전/통신,8512,금천구 ,"서울 금천구 디지털로9길 68, B204호 (가산동, 대륭포스트타워5차)",919호에이224
유부야 방학점,음식점/식음료업,1356,도봉구 ,서울특별시 도봉구 방학로10길 40 (방학동),
에스제이 피부힐링연구소,생활/리빙,2566,동대문구,서울 동대문구 왕산로,"122, 1602호 (용두동,한방천하용두동포스빌)"
(주)에이치에스리테일 목동점,식자재/유통,7946,양천구 ,서울특별시 양천구 목동중앙북로 7,상가동 101호
빈티지튤립,의류/잡화,8739,관악구 ,서울시 관악구 남부순환로231길 12,빈티지 튤립
법무법인 제이앤에프(J&F Law Firm),기타,7332,영등포구,서울 영등포구 국제금융로8길,"31, 9층 (여의도동)"
불만있는치킨,음식점/식음료업,4012,마포구 ,서울특별시 마포구 동교로9길 57 (망원동),2층
율플라워,생활/리빙,6284,강남구 ,서울 강남구 삼성로,212 (대치동)
은행나무 갈매기,음식점/식음료업,3639,서대문구,서울특별시 서대문구 통일로39길 23 (홍제동),
제일이용원,생활/리빙,7667,강서구 ,서울시 강서구 등촌로53길 13,(등촌동)
이마트24 태릉입구역점,식자재/유통,1860,노원구 ,서울특별시 노원구 화랑로 419-11,1층
찌웅이네 숯불두마리치킨 인피닛스퀘어점,음식점/식음료업,6611,서초구 ,서울특별시 서초구 사평대로58길 6 (서초동),지하2층 B201호
연남정,음식점/식음료업,3975,마포구 ,서울특별시 마포구 연남로 79 (연남동),
이파 필라테스(용두점),기술/기능 교육,2565,동대문구,서울특별시 동대문구 고산자로 406 (용두동),화성빌딩201~3 호
왕게수산,음식점/식음료업,4610,중구   ,서울특별시 중구 다산로 203-1 (신당동),
삼성photomount(P.M),의류/잡화,4384,용산구 ,서울특별시 용산구 녹사평대로11길 42 (서빙고동),삼성photomunt
젤로뷰티(jello beauty),생활/리빙,8758,관악구 ,서울 관악구 봉천로,"450, 4층 (봉천동,한도빌딩)"
글램핏,의류/잡화,6040,강남구 ,서울특별시 강남구 논현로149길 35 (논현동),동보빌딩 301호
스위트초이스(종로점),의류/잡화,3195,종로구 ,서울시 종로구 종로 지하 200(종로5가),"종오지하쇼핑센터 4,5호"
윤디자인가구,가구/인테리어,3457,은평구 ,서울시 은평구 응암로213-1,2층
악기모아,의류/잡화,6716,서초구 ,서울특별시 서초구 남부순환로323길 49 2층 악기모아,악기모아
BHC신방화사거리점,음식점/식음료업,7593,강서구 ,서울 강서구 양천로 126,1층
히포크라타헬스케어,식자재/유통,6519,서초구 ,서울 서초구 잠원로4길,"33-2, 4층 401호 (잠원동,잠원동 스타빌딩)"
황금당,의류/잡화,2432,동대문구,서울특별시 동대문구 휘경로 42(휘경동),
윤치과의원,보건/복지,1039,강북구 ,서울  강북구  수유2동 260번지  삼성아파트단지상가  2-209호,
삼성키즈소아청소년과의원,보건/복지,5117,광진구 ,서울특별시 광진구 아차산로 478 (구의동),그레이스빌딩 4층
토리키치논현점,음식점/식음료업,6531,서초구 ,서울특별시 서초구 신반포로47길 30 (잠원동),
두두플라워,생활/리빙,8778,관악구 ,"서울특별시 관악구 신림로 294, 2층 2호 (신림동)",
샘터028863333공인중개사사무소,부동산/임대,8729,관악구 ,"서울특별시 관악구 은천로25길 63 (봉천동, 한빛프라자)",
